header,class,mechanism,group
AGly|M86913.1|gene4|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Tet|tetX_3_AB097942|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,Tetracyclines,Tetracycline inactivation enzymes,TETX
Bla|OXY5-1|AJ871868|1-873|873|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
Mdr|CP003248.2|gene3393|Multi-drug_resistance|MDR_regulator|MTRA,Multi-drug resistance,MDR regulator,MTRA
@phgb|KP109680|1254-2112|ARO:3003720|SPG-1|betalactams|Class_B_betalactamases|SPG,betalactams,Class B betalactamases,SPG
@phgb|AF190692|208-1069|ARO:3000946|TEM-79|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|218091989|emb|AM922308.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|OXA-203|HQ998857|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|2970344|gb|AF047171.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
1428|AY082011.1|AY082011|Glycopeptides|VanD-type_resistance_protein|VAND,Glycopeptides,VanD-type resistance protein,VAND
38|DQ516970.1|DQ516970|Multi-drug_resistance|Multi-drug_efflux_pumps|MSBA,Multi-drug resistance,Multi-drug efflux pumps,MSBA
@phgb|AHEL01000071|3243-4143|ARO:3000318|mphB|MLS|Macrolide_phosphotransferases|MPHB,MLS,Macrolide phosphotransferases,MPHB
1574|LC031883.1|LC031883|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|18958443|gb|AF467947.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|558607389|gb|KF513177.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|SHV-122_1_HM751103|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|734704269|gb|KM588353.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|77021907|gb|DQ193536.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Gly|VanH-E|AF155139|4979-5947|969|Glycopeptides|VanE-type_resistance_protein|VANHE,Glycopeptides,VanE-type resistance protein,VANHE
@phgb|AY210887|111-972|ARO:3001104|SHV-46|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|OCH-8|DQ489307|1071-2243|1173|betalactams|Class_C_betalactamases|OCH,betalactams,Class C betalactamases,OCH
gi|147744336|gb|EF561644.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|TLA-1_1_AF148067|betalactams|Class_A_betalactamases|TLA,betalactams,Class A betalactamases,TLA
Bla|OXA-332_1_KF203106|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Phe|AY034138.1|gene10|Phenicol|Phenicol_efflux_pumps|FLOR,Phenicol,Phenicol efflux pumps,FLOR
Bla|ampS_1_X80276|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|VIM-26|FR748153|260-1060|801|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
Bla|KC243783.1|gene1|betalactams|Penicillin_binding_protein|MECA,betalactams,Penicillin binding protein,MECA
Bla|CMY-60|JF460794|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
gi|537430798|gb|KF057029.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Gly|VanT-C_2_EU151752|Glycopeptides|VanC-type_resistance_protein|VANTC,Glycopeptides,VanC-type resistance protein,VANTC
@phgb|AM183304|208-1069|ARO:3001017|TEM-150|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|22758830|gb|AY135661.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
gi|42357702|gb|AY513266.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Met|nimE_1_AJ244018|Metronidazole|nim_nitroimidazole_reductase|NIME,Metronidazole,nim nitroimidazole reductase,NIME
Bla|EU408358.1|gene24|betalactams|Class_B_betalactamases|LRA,betalactams,Class B betalactamases,LRA
gi|239925270|gb|GQ140348.1|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC
Bla|CTX-M-14_5_AJ416341|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|SHV-33|AY037779|89-949|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|NC_002516.2|3982020-3984009|ARO:3002985|arnA|Cationic_antimicrobial_peptides|Lipid_A_modification|ARNA,Cationic antimicrobial peptides,Lipid A modification,ARNA
gi|1841437|emb|Y11068.1|betalactams|Class_C_betalactamases|FOX,betalactams,Class C betalactamases,FOX
gi|134154076|gb|EF468463.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|AB008454.1|gene1|betalactams|Class_C_betalactamases|SRT,betalactams,Class C betalactamases,SRT
858|L06156.1|PROAAC2IA|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME
Bla|OXA-335_1_KF203109|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|757399517|gb|KP050491.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|388564843|gb|JQ733575.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
gi|698174187|gb|KM087848.1|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA
1436|AY489045.1|AY489045|Glycopeptides|VanD-type_regulator|VANSD,Glycopeptides,VanD-type regulator,VANSD
Phe|Cat-pC194|NC_002013|1260-1910|651|Phenicol|Chloramphenicol_acetyltransferases|CAT,Phenicol,Chloramphenicol acetyltransferases,CAT
Bla|OXA-209|JF268688|5408-6232|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
67|AF047479.2|AF047479|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Bla|OXA-217|JN603240|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|595583481|gb|KF992027.1|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
@phgb|AB372881|8-869|ARO:3001160|SHV-111|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Tet|tetL_6_X08034|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETL,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETL
AGly|NC_004973.1.1449625|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
Bla|OXA-183|HQ111474|1057-1857|801|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|NMC-A|Z21956|1221-2099|879|betalactams|Class_A_betalactamases|NMCA,betalactams,Class A betalactamases,NMCA
Tet|tetH_3_Y15510|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETH,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETH
1824|AB777500.1|AB777500|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
@phgb|AJ620678|0-753|ARO:3000845|GIM-1|betalactams|Class_B_betalactamases|GIM,betalactams,Class B betalactamases,GIM
Bla|OKP-A-12|AM950916|19-879|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
Mdr|CP000034.1|gene3834|Multi-drug_resistance|MDR_regulator|CPXAR,Multi-drug resistance,MDR regulator,CPXAR
Phe|AB080798.1|gene5|Phenicol|Chloramphenicol_acetyltransferases|CAT,Phenicol,Chloramphenicol acetyltransferases,CAT
@phgb|NC_002163|336915-337548|ARO:3000526|cmeR|Multi-drug_resistance|MDR_regulator|CMER,Multi-drug resistance,MDR regulator,CMER
ACou|NC_002952.2859942|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
MLS|ermX_2_X51472|MLS|23S_rRNA_methyltransferases|ERMX,MLS,23S rRNA methyltransferases,ERMX
gi|388564827|gb|JQ733571.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Flq|QnrB40|JN166689|1-660|660|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Bla|CTX-M-99|HM803271|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
187|KF823969.1|KF823969|Glycopeptides|VanB-type_accessory_protein|VANWB,Glycopeptides,VanB-type accessory protein,VANWB
Bla|CEPH-A3|AY112998|197-961|765|betalactams|Class_B_betalactamases|CPHA,betalactams,Class B betalactamases,CPHA
AGly|Aac6-IIa|M29695|707-1261|555|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Bla|OXA-69|AY750911|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Sul|sul2_1_AF542061|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
AGly|Aac6-Aph2|M13771|304-1743|1440|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
AGly|Aac3-IIe|EU022315|1-861|861|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
@pvgb|AB003428.1|151-2416|ARO:3003702|Pseudomonas|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
Bla|CTX-M-29|AY267213|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
@pvgb|CP003248|4240040-4243325|ARO:3003327|Mycobacterium|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBC,Mycobacterium tuberculosis-specific Drug,Ethambutol resistant arabinosyltransferase,EMBC
Mdr|NC_010400.5984910|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXE,Multi-drug resistance,Multi-drug efflux pumps,MEXE
Bla|TEM-115|AF535127|209-1069|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|CTX-M-89_1_FJ966096|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|169883501|gb|EU496815.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Tet|TetR|HF545434|53576-54226|651|Tetracyclines|Tetracycline_transcriptional_repressor|TETR,Tetracyclines,Tetracycline transcriptional repressor,TETR
gi|315227436|gb|HQ322613.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
AGly|AphVIII|AF182845|1-804|804|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
Tet|tetM_7_FN433596|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
@phgb|AL123456|1853605-1854388|ARO:3003060|tsnr|Thiostrepton|23S_rRNA_methyltransferases|TSNR,Thiostrepton,23S rRNA methyltransferases,TSNR
Bla|TEM-129|AY452662|184-1044|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|OXA-237|JQ820241|1-831|831|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|338173764|gb|HQ661362.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Rif|NC_006582.1.3201560|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
gi|5457153|gb|AF164577.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|BA000032|476707-477559|ARO:3003151|CARB-22|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
1373|GU002295.1|GU002295|betalactams|Class_B_betalactamases|POM,betalactams,Class B betalactamases,POM
1402|FM207631.1|FM207631|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,Rifampin,Rifampin ADP-ribosyltransferase Arr,ARR
@phgb|U00096|2812615-2814154|ARO:3000074|emrB|Multi-drug_resistance|Multi-drug_efflux_pumps|EMRB,Multi-drug resistance,Multi-drug efflux pumps,EMRB
1139|JN596991.2|JN596991|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|CTX-M-72|AY847148|9-884|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|OXA-51_7_EU255292|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Tet|tetB_3_AP000342|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETB,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETB
gi|597441558|gb|KF048909.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
MLS|ermC_12_Y09003|MLS|23S_rRNA_methyltransferases|ERMC,MLS,23S rRNA methyltransferases,ERMC
Bla|IND-15|AB563173|33-764|732|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
@phgb|AB083212|0-756|ARO:3000859|rmtA|Aminoglycosides|16S_rRNA_methyltransferases|RMTA,Aminoglycosides,16S rRNA methyltransferases,RMTA
Bla|OXA-34|AF350424|1-771|771|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
ACou|NC_003098.1.934298|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
Rif|CP001581.1|gene3846|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
1014|AF001493.1|AF001493|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,Rifampin,Rifampin ADP-ribosyltransferase Arr,ARR
Bla|CMY-87|AB699171|1-1143|1143|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
gi|591389149|gb|KF986257.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Fos|fosA_13_EU487198|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Fosfomycin,Fosfomycin thiol transferases,FOSA
Tet|tetM_8_X04388|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
Bla|OXA-137|EU086835|89-898|810|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Sul|NC_011586.7045179|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
Bla|AJ223604.1|gene3|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
@phgb|NC_012547|21239-21638|ARO:3001205|bleomycin|Glycopeptides|Bleomycin_resistance_protein|BRP,Glycopeptides,Bleomycin resistance protein,BRP
Elf|NC_002516.2.881718|Elfamycins|EF-Tu_inhibition|TUFAB,Elfamycins,EF-Tu inhibition,TUFAB
Gly|VanXYc4|EU151753|1078-1650|573|Glycopeptides|VanC-type_resistance_protein|VANXYC,Glycopeptides,VanC-type resistance protein,VANXYC
Flq|QnrB33|JN173055|36-680|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
@phgb|FJ483516.1|0-252|ARO:3000860|rmtB|Aminoglycosides|16S_rRNA_methyltransferases|RMTB,Aminoglycosides,16S rRNA methyltransferases,RMTB
AGly|AF318077.1|gene1|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
@phgb|HM755448|244-1120|ARO:3001957|CTX-M-98|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Sul|CP0001138.1|gene3456|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
@phgb|KF478993|6002-6704|ARO:3002930|vanRO|Glycopeptides|VanO-type_regulator|VANRO,Glycopeptides,VanO-type regulator,VANRO
1849|AF156486.1|AF156486|Phenicol|Phenicol_efflux_pumps|CML,Phenicol,Phenicol efflux pumps,CML
AGly|Y00459.1|gene3|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6
1148|EU427302.2|EU427302|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR
Sul|NC_002163.1.904908|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
gi|296951|emb|X65252.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
@phgb|470266717|8362-9142|ARO:3003687|APH3-PRIME-VI|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
MLS|vatE_11_AY043213|MLS|Streptogramin_A_O-acetyltransferase|VATE,MLS,Streptogramin A O-acetyltransferase,VATE
gi|10443723|gb|AF226622.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
MLS|MefA|U70055|314-1531|1218|MLS|Macrolide_resistance_efflux_pumps|MEFA,MLS,Macrolide resistance efflux pumps,MEFA
gi|22725670|gb|AF535129.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|TEM-189|JN254627|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|698174165|gb|KM087837.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|ACT-14|JX440354|757-1902|1146|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
1017|JQ343850.1|JQ343850|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
